timestamp,optimization_step,loss_critic,loss_actor,loss_temperature,loss_discrete_critic,temperature,critic_grad_norm,actor_grad_norm,temperature_grad_norm,discrete_critic_grad_norm,replay_buffer_size,offline_replay_buffer_size,optimization_freq_hz,q_mean,q_std,q_min,q_max,entropy_term,q_target_mean,q_target_std,td_error_mean,td_error_std,td_error_max,critic_disagreement,policy_entropy_raw,policy_log_prob_mean,actor_loss_q_term,actor_loss_entropy_term,step_time_ms,gpu_mem_current_mb,gpu_mem_peak_mb
0.4,0,13.8364,3.2169,-0.0000,,0.9997,6.5288,13.2929,0.5240,,0,1630,2.35,-0.5896,0.2077,-1.2256,-0.0072,3.0121,0.6570,3.6470,2.4366,2.7906,13.5100,0.4004,-2.9760,2.9760,0.2409,2.9760,424.67,29.6,216.5
0.9,10,9.4819,0.8825,-0.0037,,0.9967,4.1390,5.0749,1.2263,,2560,1630,19.28,1.3720,0.1795,0.7666,1.9071,2.2948,1.2676,3.0362,2.1350,2.2103,10.7446,0.2512,-2.2737,2.2737,-1.3843,2.2668,51.86,29.6,241.4
1.5,20,8.7140,1.3652,-0.0068,,0.9935,2.0683,5.8746,1.0938,,5120,1630,20.15,1.0169,0.2022,0.4710,1.5395,2.4219,1.2487,2.9408,1.9049,2.2501,11.6310,0.2128,-2.4062,2.4062,-1.0261,2.3913,49.62,29.6,241.4
2.0,30,9.6298,0.7403,-0.0124,,0.9903,2.0576,4.2870,1.3246,,7680,1630,18.62,1.3535,0.1892,0.7105,1.8695,2.1922,1.6240,3.1122,2.0162,2.3552,10.4302,0.2080,-2.1754,2.1754,-1.4147,2.1550,53.71,29.6,241.4
2.5,40,7.3785,0.4795,-0.0160,,0.9871,2.7181,5.0114,1.2612,,10240,1630,19.71,1.7071,0.1802,1.1095,2.2102,2.2150,1.6795,2.7033,1.7741,2.0545,10.9904,0.1694,-2.2388,2.2388,-1.7311,2.2106,50.73,29.6,241.4
3.0,50,8.7240,0.0498,-0.0245,,0.9838,2.3256,4.4672,1.5343,,12800,1630,19.67,1.8752,0.1938,1.2572,2.2888,1.9582,1.9079,2.9493,1.9244,2.2392,12.7122,0.1678,-1.9657,1.9657,-1.8847,1.9345,50.85,29.6,241.4
3.5,60,8.2904,0.2068,-0.0270,,0.9805,1.7949,4.1868,1.3939,,15360,1630,22.46,1.8280,0.1799,1.3612,2.2705,2.0758,1.9633,2.8843,1.7970,2.2490,11.8689,0.1558,-2.1061,2.1061,-1.8589,2.0657,44.52,29.6,241.4
4.0,70,10.3175,-0.4114,-0.0343,,0.9772,1.9064,3.9063,1.5103,,17920,1630,19.00,2.2981,0.1697,1.8183,2.6876,1.9476,2.5542,3.2211,2.0213,2.4971,10.9946,0.1501,-1.9897,1.9897,-2.3563,1.9449,52.64,29.6,241.4
4.5,80,9.1741,-0.5143,-0.0415,,0.9739,1.7215,3.6650,1.5870,,20480,1630,18.99,2.3744,0.1712,1.9343,2.8882,1.8834,2.5416,3.0260,1.9131,2.3487,11.6783,0.1452,-1.9130,1.9130,-2.3779,1.8636,52.66,29.6,241.4
5.0,90,11.8904,-0.6778,-0.0452,,0.9705,2.4641,3.2812,1.5274,,23040,1630,18.59,2.5711,0.1762,1.9622,3.1047,1.9222,2.9364,3.4450,2.1500,2.6978,11.7614,0.1425,-1.9726,1.9726,-2.5929,1.9151,53.78,29.6,241.4
